feature,importance
satisfaction_level,0.27317495592355456
years_at_company,0.2560634367283539
num_projects,0.179435139772585
avg_monthly_hours,0.133332676297421
last_evaluation,0.12187999431121163
salary,0.01254501659347496
had_work_accident,0.009273467261007267
Dept_technical,0.0029982553168848933
Dept_sales,0.002135492504389391
promotion_last_5_years,0.0018597414191341207
Dept_support,0.001714845002957188
Dept_RandD,0.0012456426796897135
Dept_accounting,0.0011776442866833143
Dept_hr,0.001053394003736646
Dept_management,0.0009785024721176063
Dept_marketing,0.0006352438353370762
Dept_product_mng,0.0004965515914618208
