feature,mean_abs_shap
satisfaction_level,0.14585663892624479
number_project,0.09344969582885952
time_spend_company,0.09160241874677107
average_montly_hours,0.06789553452492413
last_evaluation,0.0652561793264887
salary,0.013079342158443715
Work_accident,0.01011040546494304
Dept_technical,0.00468010092216553
Dept_sales,0.0018739959419820777
Dept_support,0.0015003276488068905
promotion_last_5years,0.0012386639208612194
Dept_RandD,0.0010305201891929712
Dept_hr,0.0010190348979802397
Dept_product_mng,0.0007728810972301369
Dept_accounting,0.0007259045858950517
Dept_management,0.0004590794144743421
Dept_marketing,0.00040737353989202826
